type,run,trial,phase,listType,gridRows,gridCols,stimulusCount,stimulusValue1,stimulusValueType1,stimulusGridPosition1,gridCellClass1,stimulusValue2,stimulusValueType2,stimulusGridPosition2,gridCellClass2,correctResponse,probeType,listSwitch,objectSwitch,keyCode1,keyLabel1,keyLabelType1,response1,keyCode2,keyLabel2,keyLabelType2,response2
1,5,2,2,1,1,2,2,,text,1,greenCell,trianglefilled.png,image,2,greenCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,3,2,1,1,2,2,trianglefilled.png,image,1,greenCell,,text,2,greenCell,0,2,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,4,2,1,1,2,2,moonfilled.png,image,1,greenCell,,text,2,greenCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,5,2,1,1,2,2,moonempty.png,image,1,greenCell,,text,2,greenCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,6,2,1,1,2,2,,text,1,greenCell,trianglefilled.png,image,2,greenCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,7,2,1,1,2,2,moonfilled.png,image,1,greenCell,,text,2,greenCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,8,2,1,1,2,2,moonfilled.png,image,1,greenCell,,text,2,greenCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,9,2,1,1,2,2,tearempty.png,image,1,greenCell,,text,2,greenCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,10,2,1,1,2,2,trianglefilled.png,image,1,greenCell,,text,2,greenCell,0,2,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,11,2,1,1,2,2,trianglefilled.png,image,1,greenCell,,text,2,greenCell,0,2,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,12,2,1,1,2,2,starempty.png,image,1,greenCell,,text,2,greenCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,13,2,1,1,2,2,,text,1,greenCell,moonfilled.png,image,2,greenCell,0,2,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
1,6,0,1,2,1,2,2,triangleempty.png,image,1,magentaCell,trianglefilled.png,image,2,magentaCell,,,,,,,,,,,,
1,6,1,2,2,1,2,2,squarefilled.png,image,1,magentaCell,,text,2,magentaCell,0,3,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,2,2,2,1,2,2,,text,1,magentaCell,diamondfilled.png,image,2,magentaCell,0,3,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,3,2,2,1,2,2,triangleempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
